indicator_id,source_code,country_iso3,year,value,plot
151,WB_WDI_SE_PRE_ENRR,VUT,2010,93.585907,GER
151,WB_WDI_SE_PRE_ENRR,VEN,2010,73.462158,GER
151,WB_WDI_SE_PRE_ENRR,VNM,2010,71.273697,GER
151,WB_WDI_SE_PRE_ENRR,PSE,2010,39.92342,GER
151,WB_WDI_SE_PRE_ENRR,YEM,2010,1.26137,GER
151,WB_WDI_SE_PRE_ENRR,BLZ,2012,46.48246,GER
151,WB_WDI_SE_PRE_ENRR,BEN,2012,19.00469,GER
151,WB_WDI_SE_PRE_ENRR,BMU,2012,61.45985,GER
151,WB_WDI_SE_PRE_ENRR,BTN,2012,9.670181,GER
151,WB_WDI_SE_PRE_ENRR,BOL,2012,59.085629,GER
151,WB_WDI_SE_PRE_ENRR,BWA,2012,14.64902,GER
151,WB_WDI_SE_PRE_ENRR,BRA,2012,86.041801,GER
151,WB_WDI_SE_PRE_ENRR,BRN,2012,69.623016,GER
151,WB_WDI_SE_PRE_ENRR,BGR,2012,79.615494,GER
151,WB_WDI_SE_PRE_ENRR,USA,2015,72.027359,GER
151,WB_WDI_SE_PRE_ENRR,URY,2015,94.00988,GER
151,WB_WDI_SE_PRE_ENRR,UZB,2015,25.1772,GER
151,WB_WDI_SE_PRE_ENRR,VUT,2015,90.192993,GER
151,WB_WDI_SE_PRE_ENRR,VEN,2015,76.146523,GER
151,WB_WDI_SE_PRE_ENRR,VNM,2015,83.973259,GER
151,WB_WDI_SE_PRE_ENRR,PSE,2015,53.673229,GER
151,WB_WDI_SE_PRE_ENRR,ZMB,2015,6.89052,GER
151,WB_WDI_SE_PRE_ENRR,ZWE,2015,61.682819,GER
151,WB_WDI_SE_PRE_ENRR,VCT,2017,108.990829,GER
151,WB_WDI_SE_PRE_ENRR,SDN,2017,46.625759,GER
151,WB_WDI_SE_PRE_ENRR,SUR,2017,90.381218,GER
151,WB_WDI_SE_PRE_ENRR,SWE,2017,96.329338,GER
151,WB_WDI_SE_PRE_ENRR,CHE,2017,103.588966,GER
151,WB_WDI_SE_PRE_ENRR,TJK,2017,9.9137,GER
151,WB_WDI_SE_PRE_ENRR,TZA,2017,44.950508,GER
151,WB_WDI_SE_PRE_ENRR,THA,2017,74.781952,GER
151,WB_WDI_SE_PRE_ENRR,TLS,2017,23.447535,GER
151,WB_WDI_SE_PRE_ENRR,BIH,2013,14.80842,GER
151,WB_WDI_SE_PRE_ENRR,BWA,2013,17.523251,GER
151,WB_WDI_SE_PRE_ENRR,BRA,2013,86.717308,GER
151,WB_WDI_SE_PRE_ENRR,BRN,2013,69.94632,GER
151,WB_WDI_SE_PRE_ENRR,BGR,2013,79.612938,GER
151,WB_WDI_SE_PRE_ENRR,BFA,2013,4.00374,GER
151,WB_WDI_SE_PRE_ENRR,BDI,2013,9.09977,GER
151,WB_WDI_SE_PRE_ENRR,CPV,2013,71.027802,GER
151,WB_WDI_SE_PRE_ENRR,KHM,2013,12.925068,GER
151,WB_WDI_SE_PRE_ENRR,CMR,2013,31.852539,GER
