indicator_id,source_code,country_iso3,year,value
16,WB_HCI_LAYS,CRI,2020,8.99331
16,WB_HCI_LAYS,CYP,2010,9.80935
16,WB_HCI_LAYS,CYP,2018,10.9171
16,WB_HCI_LAYS,CYP,2020,10.9171
16,WB_HCI_LAYS,CZE,2010,10.8439
16,WB_HCI_LAYS,CZE,2018,11.3358
16,WB_HCI_LAYS,CZE,2020,11.1165
16,WB_HCI_LAYS,DEU,2010,11.2623
16,WB_HCI_LAYS,DEU,2018,11.265
16,WB_HCI_LAYS,DEU,2020,11.0331
16,WB_HCI_LAYS,DMA,2018,8.15986
16,WB_HCI_LAYS,DMA,2020,8.00887
16,WB_HCI_LAYS,DNK,2010,11.0915
16,WB_HCI_LAYS,DNK,2018,11.3742
16,WB_HCI_LAYS,DNK,2020,11.0988
16,WB_HCI_LAYS,DOM,2018,6.68196
16,WB_HCI_LAYS,DOM,2020,6.55853
16,WB_HCI_LAYS,DZA,2010,7.2022
16,WB_HCI_LAYS,DZA,2018,7.04803
16,WB_HCI_LAYS,DZA,2020,7.09155
16,WB_HCI_LAYS,ECU,2010,7.33601
16,WB_HCI_LAYS,ECU,2018,8.75426
16,WB_HCI_LAYS,ECU,2020,8.69649
16,WB_HCI_LAYS,EGY,2010,6.48641
16,WB_HCI_LAYS,EGY,2018,6.50457
16,WB_HCI_LAYS,EGY,2020,6.52936
16,WB_HCI_LAYS,ESP,2010,10.2665
16,WB_HCI_LAYS,ESP,2018,10.663
16,WB_HCI_LAYS,ESP,2020,10.5147
16,WB_HCI_LAYS,EST,2010,11.2402
16,WB_HCI_LAYS,EST,2018,11.693
16,WB_HCI_LAYS,EST,2020,11.7193
16,WB_HCI_LAYS,ETH,2018,4.4887
16,WB_HCI_LAYS,ETH,2020,4.34911
16,WB_HCI_LAYS,FIN,2010,12.2089
16,WB_HCI_LAYS,FIN,2018,12.0476
16,WB_HCI_LAYS,FIN,2020,11.7388
16,WB_HCI_LAYS,FJI,2020,6.95114
16,WB_HCI_LAYS,FRA,2010,11.2458
16,WB_HCI_LAYS,FRA,2018,11.1728
16,WB_HCI_LAYS,FRA,2020,11.2687
16,WB_HCI_LAYS,FSM,2018,6.20339
16,WB_HCI_LAYS,FSM,2020,7.18635
16,WB_HCI_LAYS,GAB,2018,6.02493
16,WB_HCI_LAYS,GAB,2020,6.02493
16,WB_HCI_LAYS,GBR,2010,11.3221
16,WB_HCI_LAYS,GBR,2018,11.4573
16,WB_HCI_LAYS,GBR,2020,11.538
16,WB_HCI_LAYS,GEO,2010,7.88557
16,WB_HCI_LAYS,GEO,2018,9.1532
16,WB_HCI_LAYS,GEO,2020,8.27399
16,WB_HCI_LAYS,GHA,2018,5.82693
16,WB_HCI_LAYS,GHA,2020,5.95873
16,WB_HCI_LAYS,GIN,2018,4.6119
16,WB_HCI_LAYS,GIN,2020,4.56822
16,WB_HCI_LAYS,GMB,2010,4.26306
16,WB_HCI_LAYS,GMB,2018,5.00319
16,WB_HCI_LAYS,GMB,2020,5.37542
16,WB_HCI_LAYS,GRC,2010,10.4644
16,WB_HCI_LAYS,GRC,2018,10.0731
16,WB_HCI_LAYS,GRC,2020,9.96425
16,WB_HCI_LAYS,GRD,2018,7.74102
16,WB_HCI_LAYS,GRD,2020,8.27359
16,WB_HCI_LAYS,GTM,2010,6.07279
16,WB_HCI_LAYS,GTM,2018,6.20093
16,WB_HCI_LAYS,GTM,2020,6.29769
16,WB_HCI_LAYS,GUY,2018,6.76325
16,WB_HCI_LAYS,GUY,2020,6.76325
16,WB_HCI_LAYS,HKG,2010,11.5562
16,WB_HCI_LAYS,HKG,2018,12.0432
16,WB_HCI_LAYS,HKG,2020,11.8868
16,WB_HCI_LAYS,HND,2018,6.1338
16,WB_HCI_LAYS,HND,2020,6.1338
16,WB_HCI_LAYS,HRV,2010,10.3218
16,WB_HCI_LAYS,HRV,2018,10.8097
16,WB_HCI_LAYS,HRV,2020,10.4462
16,WB_HCI_LAYS,HTI,2018,6.14986
16,WB_HCI_LAYS,HTI,2020,6.14986
16,WB_HCI_LAYS,HUN,2010,10.6845
16,WB_HCI_LAYS,HUN,2018,10.6924
16,WB_HCI_LAYS,HUN,2020,10.2716
16,WB_HCI_LAYS,IDN,2010,7.23037
16,WB_HCI_LAYS,IDN,2018,7.93458
16,WB_HCI_LAYS,IDN,2020,7.82777
16,WB_HCI_LAYS,IND,2018,6.92475
16,WB_HCI_LAYS,IND,2020,7.10217
16,WB_HCI_LAYS,IRL,2010,11.2995
16,WB_HCI_LAYS,IRL,2018,11.9596
16,WB_HCI_LAYS,IRL,2020,11.5948
16,WB_HCI_LAYS,IRN,2010,7.95036
16,WB_HCI_LAYS,IRN,2018,8.19246
16,WB_HCI_LAYS,IRN,2020,8.19246
16,WB_HCI_LAYS,IRQ,2018,4.00437
16,WB_HCI_LAYS,IRQ,2020,4.03086
16,WB_HCI_LAYS,ISL,2010,10.9659
16,WB_HCI_LAYS,ISL,2018,10.7051
16,WB_HCI_LAYS,ISL,2020,10.7183
16,WB_HCI_LAYS,ISR,2010,10.4167
16,WB_HCI_LAYS,ISR,2018,11.0874
16,WB_HCI_LAYS,ISR,2020,10.5865
16,WB_HCI_LAYS,ITA,2010,10.9289
16,WB_HCI_LAYS,ITA,2018,10.8909
16,WB_HCI_LAYS,ITA,2020,10.4519
16,WB_HCI_LAYS,JAM,2018,7.172
16,WB_HCI_LAYS,JAM,2020,7.05799
16,WB_HCI_LAYS,JOR,2010,7.8774
16,WB_HCI_LAYS,JOR,2018,7.54741
16,WB_HCI_LAYS,JOR,2020,7.66613
16,WB_HCI_LAYS,JPN,2010,12.0029
16,WB_HCI_LAYS,JPN,2018,12.2946
16,WB_HCI_LAYS,JPN,2020,11.7351
16,WB_HCI_LAYS,KAZ,2010,8.998
16,WB_HCI_LAYS,KAZ,2018,11.7975
16,WB_HCI_LAYS,KAZ,2020,9.12744
16,WB_HCI_LAYS,KEN,2018,8.41399
16,WB_HCI_LAYS,KEN,2020,8.46924
16,WB_HCI_LAYS,KGZ,2018,8.63745
16,WB_HCI_LAYS,KGZ,2020,8.6521
16,WB_HCI_LAYS,KHM,2018,6.85432
16,WB_HCI_LAYS,KHM,2020,6.84398
16,WB_HCI_LAYS,KIR,2018,6.87248
16,WB_HCI_LAYS,KIR,2020,7.38195
16,WB_HCI_LAYS,KNA,2018,8.18676
16,WB_HCI_LAYS,KNA,2020,8.47775
16,WB_HCI_LAYS,KOR,2010,12.2465
16,WB_HCI_LAYS,KOR,2018,12.2477
16,WB_HCI_LAYS,KOR,2020,11.684
16,WB_HCI_LAYS,KWT,2010,7.72991
16,WB_HCI_LAYS,KWT,2018,7.43209
16,WB_HCI_LAYS,KWT,2020,7.38203
16,WB_HCI_LAYS,LAO,2018,6.3094
16,WB_HCI_LAYS,LAO,2020,6.25232
16,WB_HCI_LAYS,LBN,2018,6.57964
16,WB_HCI_LAYS,LBN,2020,6.33524
16,WB_HCI_LAYS,LBR,2018,2.2065
16,WB_HCI_LAYS,LBR,2020,2.2065
16,WB_HCI_LAYS,LCA,2018,8.20188
16,WB_HCI_LAYS,LCA,2020,8.48033
16,WB_HCI_LAYS,LKA,2018,8.37412
16,WB_HCI_LAYS,LKA,2020,8.46218
16,WB_HCI_LAYS,LSO,2010,5.37757
16,WB_HCI_LAYS,LSO,2018,6.31405
16,WB_HCI_LAYS,LSO,2020,6.31405
16,WB_HCI_LAYS,LTU,2010,10.9538
16,WB_HCI_LAYS,LTU,2018,11.3676
16,WB_HCI_LAYS,LTU,2020,10.9752
16,WB_HCI_LAYS,LUX,2010,10.1847
16,WB_HCI_LAYS,LUX,2018,9.92984
16,WB_HCI_LAYS,LUX,2020,9.79558
16,WB_HCI_LAYS,LVA,2010,10.7143
16,WB_HCI_LAYS,LVA,2018,11.5574
16,WB_HCI_LAYS,LVA,2020,10.9788
16,WB_HCI_LAYS,MAC,2010,9.17599
16,WB_HCI_LAYS,MAC,2018,11.0726
16,WB_HCI_LAYS,MAC,2020,11.5738
16,WB_HCI_LAYS,MAR,2010,5.75174
16,WB_HCI_LAYS,MAR,2018,6.05002
16,WB_HCI_LAYS,MAR,2020,6.31768
16,WB_HCI_LAYS,MDA,2010,7.90665
16,WB_HCI_LAYS,MDA,2018,8.25054
16,WB_HCI_LAYS,MDA,2020,8.28882
16,WB_HCI_LAYS,MDG,2010,5.11809
16,WB_HCI_LAYS,MDG,2018,4.71344
16,WB_HCI_LAYS,MDG,2020,4.71344
16,WB_HCI_LAYS,MEX,2010,8.50386
16,WB_HCI_LAYS,MEX,2018,8.81275
16,WB_HCI_LAYS,MEX,2020,8.82425
16,WB_HCI_LAYS,MHL,2018,5.0962
16,WB_HCI_LAYS,MHL,2020,5.65949
16,WB_HCI_LAYS,MKD,2010,7.05286
16,WB_HCI_LAYS,MKD,2018,6.81677
16,WB_HCI_LAYS,MKD,2020,7.2964
16,WB_HCI_LAYS,MLI,2018,2.86035
16,WB_HCI_LAYS,MLI,2020,2.57839
16,WB_HCI_LAYS,MLT,2010,9.72617
16,WB_HCI_LAYS,MLT,2018,10.1937
16,WB_HCI_LAYS,MLT,2020,10.193
16,WB_HCI_LAYS,MMR,2018,6.67393
16,WB_HCI_LAYS,MMR,2020,6.78797
16,WB_HCI_LAYS,MNE,2010,8.02324
16,WB_HCI_LAYS,MNE,2018,8.71593
16,WB_HCI_LAYS,MNE,2020,8.90809
16,WB_HCI_LAYS,MNG,2018,9.19314
16,WB_HCI_LAYS,MNG,2020,9.15326
16,WB_HCI_LAYS,MOZ,2018,4.31828
16,WB_HCI_LAYS,MOZ,2020,4.47179
16,WB_HCI_LAYS,MRT,2018,4.0254
16,WB_HCI_LAYS,MRT,2020,4.23144
16,WB_HCI_LAYS,MUS,2010,9.05486
16,WB_HCI_LAYS,MUS,2018,9.44763
16,WB_HCI_LAYS,MUS,2020,9.40572
16,WB_HCI_LAYS,MWI,2010,5.1356
16,WB_HCI_LAYS,MWI,2018,5.51108
16,WB_HCI_LAYS,MWI,2020,5.50565
16,WB_HCI_LAYS,MYS,2010,8.28658
16,WB_HCI_LAYS,MYS,2018,9.33591
16,WB_HCI_LAYS,MYS,2020,8.88929
16,WB_HCI_LAYS,NAM,2010,5.40587
16,WB_HCI_LAYS,NAM,2018,6.13482
16,WB_HCI_LAYS,NAM,2020,6.10606
16,WB_HCI_LAYS,NER,2018,2.69209
16,WB_HCI_LAYS,NER,2020,2.68246
16,WB_HCI_LAYS,NGA,2018,5.03834
16,WB_HCI_LAYS,NGA,2020,5.03834
16,WB_HCI_LAYS,NIC,2018,6.74772
16,WB_HCI_LAYS,NIC,2020,6.74772
16,WB_HCI_LAYS,NLD,2010,11.7394
16,WB_HCI_LAYS,NLD,2018,11.7608
16,WB_HCI_LAYS,NLD,2020,11.539
16,WB_HCI_LAYS,NOR,2010,11.3013
16,WB_HCI_LAYS,NOR,2018,11.2095
16,WB_HCI_LAYS,NOR,2020,11.2339
16,WB_HCI_LAYS,NPL,2018,7.10958
16,WB_HCI_LAYS,NPL,2020,7.22666
16,WB_HCI_LAYS,NRU,2020,6.51162
16,WB_HCI_LAYS,NZL,2010,11.5202
16,WB_HCI_LAYS,NZL,2018,11.3335
16,WB_HCI_LAYS,NZL,2020,11.3902
16,WB_HCI_LAYS,OMN,2010,7.48342
16,WB_HCI_LAYS,OMN,2018,8.73311
16,WB_HCI_LAYS,OMN,2020,8.64499
16,WB_HCI_LAYS,PAK,2018,5.06582
16,WB_HCI_LAYS,PAK,2020,5.07924
16,WB_HCI_LAYS,PAN,2010,6.91096
16,WB_HCI_LAYS,PAN,2018,6.81176
16,WB_HCI_LAYS,PAN,2020,6.48087
16,WB_HCI_LAYS,PER,2010,7.71798
16,WB_HCI_LAYS,PER,2018,8.44771
16,WB_HCI_LAYS,PER,2020,8.63225
16,WB_HCI_LAYS,PHL,2018,8.34696
16,WB_HCI_LAYS,PHL,2020,7.49233
16,WB_HCI_LAYS,PLW,2018,8.24945
16,WB_HCI_LAYS,PLW,2020,8.69224
16,WB_HCI_LAYS,PNG,2018,5.90785
16,WB_HCI_LAYS,PNG,2020,5.99895
16,WB_HCI_LAYS,POL,2010,10.6888
16,WB_HCI_LAYS,POL,2018,11.5178
16,WB_HCI_LAYS,POL,2020,11.3742
16,WB_HCI_LAYS,PRT,2010,11.0134
16,WB_HCI_LAYS,PRT,2018,11.5637
16,WB_HCI_LAYS,PRT,2020,11.3101
16,WB_HCI_LAYS,PRY,2010,6.94515
16,WB_HCI_LAYS,PRY,2018,6.97649
16,WB_HCI_LAYS,PRY,2020,6.97649
16,WB_HCI_LAYS,PSE,2018,7.88784
16,WB_HCI_LAYS,PSE,2020,8.04729
16,WB_HCI_LAYS,QAT,2010,7.96389
16,WB_HCI_LAYS,QAT,2018,8.7347
16,WB_HCI_LAYS,QAT,2020,8.77822
16,WB_HCI_LAYS,ROU,2010,8.93552
16,WB_HCI_LAYS,ROU,2018,8.61327
16,WB_HCI_LAYS,ROU,2020,8.36919
16,WB_HCI_LAYS,RUS,2010,9.80833
16,WB_HCI_LAYS,RUS,2018,11.7763
16,WB_HCI_LAYS,RUS,2020,10.8981
16,WB_HCI_LAYS,RWA,2018,3.88711
16,WB_HCI_LAYS,RWA,2020,3.92577
16,WB_HCI_LAYS,SAU,2010,7.42919
16,WB_HCI_LAYS,SAU,2018,8.00629
16,WB_HCI_LAYS,SAU,2020,7.88818
16,WB_HCI_LAYS,SDN,2018,4.29964
16,WB_HCI_LAYS,SDN,2020,4.30144
16,WB_HCI_LAYS,SEN,2010,4.5151
16,WB_HCI_LAYS,SEN,2018,4.86412
16,WB_HCI_LAYS,SEN,2020,4.83832
16,WB_HCI_LAYS,SGP,2010,12.4508
16,WB_HCI_LAYS,SGP,2018,12.9379
16,WB_HCI_LAYS,SGP,2020,12.8133
16,WB_HCI_LAYS,SLB,2018,5.01564
16,WB_HCI_LAYS,SLB,2020,4.67511
16,WB_HCI_LAYS,SLE,2018,4.65739
16,WB_HCI_LAYS,SLE,2020,4.85471
16,WB_HCI_LAYS,SLV,2018,7.63393
16,WB_HCI_LAYS,SLV,2020,7.63729
16,WB_HCI_LAYS,SRB,2010,9.43045
16,WB_HCI_LAYS,SRB,2018,11.2103
16,WB_HCI_LAYS,SRB,2020,9.75261
16,WB_HCI_LAYS,SSD,2018,2.51135
16,WB_HCI_LAYS,SSD,2020,2.51135
16,WB_HCI_LAYS,SVK,2010,10.2432
16,WB_HCI_LAYS,SVK,2018,10.102
16,WB_HCI_LAYS,SVK,2020,9.79978
16,WB_HCI_LAYS,SVN,2010,11.1859
16,WB_HCI_LAYS,SVN,2018,11.6151
16,WB_HCI_LAYS,SVN,2020,11.3709
16,WB_HCI_LAYS,SWE,2010,11.1198
16,WB_HCI_LAYS,SWE,2018,11.7091
16,WB_HCI_LAYS,SWE,2020,11.5809
16,WB_HCI_LAYS,SWZ,2010,4.08924
16,WB_HCI_LAYS,SWZ,2018,4.52543
16,WB_HCI_LAYS,SWZ,2020,4.52543
16,WB_HCI_LAYS,SYC,2010,8.5506
16,WB_HCI_LAYS,SYC,2018,9.67407
16,WB_HCI_LAYS,SYC,2020,9.70082
16,WB_HCI_LAYS,TCD,2010,2.77526
16,WB_HCI_LAYS,TCD,2018,2.87275
16,WB_HCI_LAYS,TCD,2020,2.83043
16,WB_HCI_LAYS,TGO,2010,4.54382
16,WB_HCI_LAYS,TGO,2018,5.70983
16,WB_HCI_LAYS,TGO,2020,5.97274
16,WB_HCI_LAYS,THA,2010,8.45008
16,WB_HCI_LAYS,THA,2018,8.85577
16,WB_HCI_LAYS,THA,2020,8.68309
16,WB_HCI_LAYS,TJK,2018,7.7215
16,WB_HCI_LAYS,TJK,2020,6.78547
16,WB_HCI_LAYS,TLS,2010,5.59839
16,WB_HCI_LAYS,TLS,2018,6.29318
16,WB_HCI_LAYS,TLS,2020,6.29272
16,WB_HCI_LAYS,TON,2018,6.84539
16,WB_HCI_LAYS,TON,2020,7.14021
16,WB_HCI_LAYS,TTO,2010,8.13433
16,WB_HCI_LAYS,TTO,2018,9.11581
16,WB_HCI_LAYS,TTO,2020,9.11581
16,WB_HCI_LAYS,TUN,2010,6.80371
16,WB_HCI_LAYS,TUN,2018,6.36826
16,WB_HCI_LAYS,TUN,2020,6.49405
16,WB_HCI_LAYS,TUR,2010,9.11961
16,WB_HCI_LAYS,TUR,2018,8.86488
16,WB_HCI_LAYS,TUR,2020,9.2275
16,WB_HCI_LAYS,TUV,2018,5.8088
16,WB_HCI_LAYS,TUV,2020,5.99778
16,WB_HCI_LAYS,TZA,2018,4.47415
16,WB_HCI_LAYS,TZA,2020,4.48492
16,WB_HCI_LAYS,UGA,2010,3.91975
16,WB_HCI_LAYS,UGA,2018,4.33216
16,WB_HCI_LAYS,UGA,2020,4.33587
16,WB_HCI_LAYS,UKR,2010,10.2715
16,WB_HCI_LAYS,UKR,2018,10.121
16,WB_HCI_LAYS,UKR,2020,9.87452
16,WB_HCI_LAYS,URY,2010,8.48609
16,WB_HCI_LAYS,URY,2018,8.65063
16,WB_HCI_LAYS,URY,2020,8.5512
16,WB_HCI_LAYS,USA,2010,10.3524
16,WB_HCI_LAYS,USA,2018,10.7797
16,WB_HCI_LAYS,USA,2020,10.5568
16,WB_HCI_LAYS,UZB,2020,9.13336
16,WB_HCI_LAYS,VCT,2018,7.79896
16,WB_HCI_LAYS,VCT,2020,7.71073
16,WB_HCI_LAYS,VNM,2010,10.082
16,WB_HCI_LAYS,VNM,2018,10.643
16,WB_HCI_LAYS,VNM,2020,10.6805
16,WB_HCI_LAYS,VUT,2018,5.37012
16,WB_HCI_LAYS,VUT,2020,5.62426
16,WB_HCI_LAYS,WSM,2018,6.65196
16,WB_HCI_LAYS,WSM,2020,7.24517
16,WB_HCI_LAYS,XKX,2018,7.90889
16,WB_HCI_LAYS,XKX,2020,7.87082
16,WB_HCI_LAYS,YEM,2018,4.17876
16,WB_HCI_LAYS,YEM,2020,4.17876
16,WB_HCI_LAYS,ZAF,2010,6.23571
16,WB_HCI_LAYS,ZAF,2018,5.57001
16,WB_HCI_LAYS,ZAF,2020,5.6034
16,WB_HCI_LAYS,ZMB,2018,5.02224
16,WB_HCI_LAYS,ZMB,2020,5.03629
16,WB_HCI_LAYS,ZWE,2010,6.83577
16,WB_HCI_LAYS,ZWE,2018,7.00661
16,WB_HCI_LAYS,ZWE,2020,7.00661
16,WB_HCI_LAYS,WLD,2010,8.38327
16,WB_HCI_LAYS,WLD,2018,7.92024
16,WB_HCI_LAYS,WLD,2020,7.83233
16,WB_HCI_LAYS,EAS,2010,9.60387
16,WB_HCI_LAYS,EAS,2018,8.10182
16,WB_HCI_LAYS,EAS,2020,8.05264
16,WB_HCI_LAYS,ECS,2010,10.0085
16,WB_HCI_LAYS,ECS,2018,10.2742
16,WB_HCI_LAYS,ECS,2020,9.98618
16,WB_HCI_LAYS,HIC,2010,10.0651
16,WB_HCI_LAYS,HIC,2018,10.4193
16,WB_HCI_LAYS,HIC,2020,10.1321
16,WB_HCI_LAYS,LCN,2010,7.70643
16,WB_HCI_LAYS,LCN,2018,7.58686
16,WB_HCI_LAYS,LCN,2020,7.60778
16,WB_HCI_LAYS,LIC,2010,4.36001
16,WB_HCI_LAYS,LIC,2018,4.61493
16,WB_HCI_LAYS,LIC,2020,4.4514
16,WB_HCI_LAYS,LMC,2010,6.24414
16,WB_HCI_LAYS,LMC,2018,6.30184
16,WB_HCI_LAYS,LMC,2020,6.41285
16,WB_HCI_LAYS,MEA,2010,7.56296
16,WB_HCI_LAYS,MEA,2018,7.42425
16,WB_HCI_LAYS,MEA,2020,7.37897
16,WB_HCI_LAYS,NAC,2010,10.8632
16,WB_HCI_LAYS,NAC,2018,11.2372
16,WB_HCI_LAYS,NAC,2020,11.0559
16,WB_HCI_LAYS,SAS,2018,5.8675
16,WB_HCI_LAYS,SAS,2020,5.95797
16,WB_HCI_LAYS,SSF,2010,5.27507
16,WB_HCI_LAYS,SSF,2018,4.64457
16,WB_HCI_LAYS,SSF,2020,4.67374
16,WB_HCI_LAYS,UMC,2010,7.51514
16,WB_HCI_LAYS,UMC,2018,7.76806
16,WB_HCI_LAYS,UMC,2020,7.67123
16,WB_HCI_LAYS,AFG,2018,5.46375
16,WB_HCI_LAYS,AFG,2020,5.52743
16,WB_HCI_LAYS,AGO,2018,4.83346
16,WB_HCI_LAYS,AGO,2020,4.83346
16,WB_HCI_LAYS,ALB,2010,7.02766
16,WB_HCI_LAYS,ALB,2018,8.34503
16,WB_HCI_LAYS,ALB,2020,8.5268
16,WB_HCI_LAYS,ARE,2010,8.37106
16,WB_HCI_LAYS,ARE,2018,9.63092
16,WB_HCI_LAYS,ARE,2020,9.48861
16,WB_HCI_LAYS,ARG,2010,7.90872
16,WB_HCI_LAYS,ARG,2018,8.68137
16,WB_HCI_LAYS,ARG,2020,8.33244
16,WB_HCI_LAYS,ARM,2018,7.8404
16,WB_HCI_LAYS,ARM,2020,7.76774
16,WB_HCI_LAYS,ATG,2018,7.87093
16,WB_HCI_LAYS,ATG,2020,8.03377
16,WB_HCI_LAYS,AUS,2010,10.9263
16,WB_HCI_LAYS,AUS,2018,11.3039
16,WB_HCI_LAYS,AUS,2020,11.1243
16,WB_HCI_LAYS,AUT,2010,10.7864
16,WB_HCI_LAYS,AUT,2018,11.263
16,WB_HCI_LAYS,AUT,2020,10.8346
16,WB_HCI_LAYS,AZE,2010,6.87087
